MALZEME,YIL,ÜLKELER,TOPLAM,Denizyolu,Demiryolu,Karayolu
çimento,2018,A.B.D.,1832456.0,1832456.0,,
çimento,2018,İSRAİL,1229838.0,1229838.0,,
çimento,2018,SURİYE,777465.0,,,777465.0
çimento,2018,HAİTİ,384549.0,384549.0,,
çimento,2018,GANA,354634.0,354634.0,,
çimento,2018,K.K.T.C.,285128.0,285128.0,,
çimento,2018,IRAK,210615.0,,,210615.0
çimento,2018,BULGARİSTAN,193489.0,132466.0,1888.0,59135.0
çimento,2018,GİNE,190006.0,190006.0,,
çimento,2018,SİERRA LEONE,166734.0,166734.0,,
çimento,2018,LİBERYA,160595.0,160595.0,,
çimento,2018,İTALYA,130304.0,130304.0,,
çimento,2018,FİLİSTİN,129402.0,129402.0,,
çimento,2018,KOLOMBİYA,118929.0,118929.0,,
çimento,2018,RUSYA,117116.0,117116.0,,
çimento,2018,YUNANİSTAN,104752.0,104752.0,,
çimento,2018,PORTO RİKO,98066.0,98066.0,,
çimento,2018,İSPANYA,76328.0,76328.0,,
çimento,2018,YEMEN,75777.0,59277.0,,16500.0
çimento,2018,PANAMA,67789.0,67789.0,,
çimento,2018,GÜRCİSTAN,65491.0,,,65491.0
çimento,2018,BREZİLYA,60419.0,60419.0,,
çimento,2018,ROMANYA,60103.0,60103.0,,
çimento,2018,FAS,59469.0,59469.0,,
çimento,2018,HOLLANDA,57473.0,57473.0,,
çimento,2018,ARNAVUTLUK,57020.0,57020.0,,
çimento,2018,SURİNAM,40998.0,40998.0,,
çimento,2018,KAMERUN,39156.0,39156.0,,
çimento,2018,Mersin Ser. Böl.,36247.0,36247.0,,
çimento,2018,URUGUAY,32158.0,32158.0,,
çimento,2018,LİBYA,27612.0,27612.0,,
çimento,2018,İNGİLTERE,23578.0,23578.0,,
çimento,2018,FRANSA,21664.0,21664.0,,
çimento,2018,UKRAYNA,20964.0,20964.0,,
çimento,2018,PERU,16165.0,16165.0,,
çimento,2018,DANİMARKA,15984.0,15984.0,,
çimento,2018,S.ARABİSTAN,15266.0,15266.0,,
çimento,2018,ABHAZYA,14626.0,14626.0,,
çimento,2018,BEYAZ RUSYA,13829.0,13829.0,,
çimento,2018,TANZANYA,11473.0,11473.0,,
çimento,2018,KOSOVA,9524.0,9524.0,,
çimento,2018,ARJANTİN,7693.0,7693.0,,
çimento,2018,DOMİNİK,5261.0,5261.0,,
çimento,2018,ALMANYA,5255.0,5255.0,,
çimento,2018,EKVATOR GİNESİ,5001.0,5001.0,,
çimento,2018,KATAR,4507.0,4507.0,,
çimento,2018,EKVATOR ,3307.0,3307.0,,
çimento,2018,SIRBİSTAN,3000.0,3000.0,,
çimento,2018,ESTONYA,2403.0,2403.0,,
çimento,2018,ŞİLİ,2275.0,2275.0,,
çimento,2018,KOSTA RİKA,2193.0,2193.0,,
çimento,2018,AZERBAYCAN,1974.0,1312.0,,662.0
çimento,2018,İRLANDA,1867.0,1867.0,,
çimento,2018,FİNLANDİYA,1860.0,1860.0,,
çimento,2018,EL SALVADOR,1856.0,1856.0,,
çimento,2018,GÜNEY AFRİKA,1808.0,1808.0,,
çimento,2018,MALTA,1794.0,1794.0,,
çimento,2018,AVUSTURYA,1495.0,1495.0,,
çimento,2018,G. KORE,1491.0,1491.0,,
çimento,2018,KENYA,1390.0,1390.0,,
çimento,2018,MORİTANYA,1115.0,1115.0,,
çimento,2018,KARAYİPLER,800.0,800.0,,
çimento,2018,HONDURAS,781.0,781.0,,
çimento,2018,KANADA,540.0,540.0,,
çimento,2018,JAMAİKA,510.0,510.0,,
çimento,2018,SRİ LANKA,364.0,364.0,,
çimento,2018,KONGO,336.0,336.0,,
çimento,2018,TAHİTİ,297.0,297.0,,
çimento,2018,ÖZBEKİSTAN,270.0,,,270.0
çimento,2018,GUATEMALA,243.0,243.0,,
çimento,2018,YENİ ZELANDA,187.0,187.0,,
çimento,2018,TRİNİDAD TOBAGO,163.0,163.0,,
çimento,2018,ARUBA,162.0,162.0,,
çimento,2018,MAURİTİUS,135.0,135.0,,
çimento,2018,NİJERYA,134.0,134.0,,
çimento,2018,BARBADOS,133.0,133.0,,
çimento,2018,LETONYA,120.0,120.0,,
çimento,2018,MISIR,102.0,102.0,,
çimento,2018,KARADAĞ,96.0,96.0,,
çimento,2018,AVUSTRALYA,85.0,85.0,,
çimento,2018,ETİYOPYA,82.0,82.0,,
çimento,2018,TÜRKMENİSTAN,69.0,48.0,,21.0
çimento,2018,B.A.E.,61.0,61.0,,
çimento,2018,MOZAMBİK,56.0,56.0,,
çimento,2018,ÇURACAO,54.0,54.0,,
çimento,2018,POLONYA,53.0,53.0,,
çimento,2018,VENEZUELLA,28.0,28.0,,
çimento,2018,BOLİVYA,27.0,27.0,,
çimento,2018,TAYLAND,27.0,27.0,,
çimento,2018,ÜRDÜN,26.0,26.0,,
çimento,2018,FİLİPİNLER,24.0,24.0,,
çimento,2018,UGANDA,24.0,24.0,,
çimento,2019,A.B.D.,3660850.0,3660850.0,,
çimento,2019,İSRAİL,2215331.0,2215331.0,,
çimento,2019,SURİYE,1173527.5,,,1173527.5
çimento,2019,GANA,465191.0,465191.0,,
çimento,2019,HAİTİ,390681.0,390681.0,,
çimento,2019,K.K.T.C.,278561.0,278561.0,,
çimento,2019,BULGARİSTAN,225118.0,74501.0,65677.0,84940.0
çimento,2019,SİERRA LEONE,217719.0,217719.0,,
çimento,2019,İTALYA,202685.0,202685.0,,
çimento,2019,UKRAYNA,194733.0,194733.0,,
çimento,2019,ROMANYA,157400.0,157400.0,,
çimento,2019,RUSYA,148609.0,148609.0,,
çimento,2019,IRAK,143526.0,,,143526.0
çimento,2019,LİBERYA,135757.0,135757.0,,
çimento,2019,LİBYA,131752.0,131752.0,,
çimento,2019,YUNANİSTAN,127128.5,127128.5,,
çimento,2019,HONDURAS,111027.0,111027.0,,
çimento,2019,KOLOMBİYA,107823.0,107823.0,,
çimento,2019,PANAMA,98611.0,98611.0,,
çimento,2019,GÜRCİSTAN,81705.0,5322.0,,76383.0
çimento,2019,FAS,72031.0,72031.0,,
çimento,2019,SURİNAM,67691.0,67691.0,,
çimento,2019,BREZİLYA,66296.0,66296.0,,
çimento,2019,ALMANYA,64670.0,64670.0,,
çimento,2019,URUGUAY,61751.0,61751.0,,
